document_number,publication_date,product_name,hs_codes,countries,html_url,document_title
 2017-18608,09/01/2017,Titanium sponge,['8108.20.00'],"['Japan', 'Kazakhstan']",https://www.federalregister.gov/documents/2017/09/01/2017-18608/titanium-sponge-from-japan-and-kazakhstan-institution-of-antidumping-and-countervailing-duty,Titanium Sponge From Japan and Kazakhstan; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-17743,08/22/2017,Stainless steel flanges,"['7307.21.10', '7307.21.50']","['China', 'India']",https://www.federalregister.gov/documents/2017/08/22/2017-17743/stainless-steel-flanges-from-china-and-india-institution-of-antidumping-and-countervailing-duty,Stainless Steel Flanges From China and India; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-17177,08/15/2017,Uncoated groundwood paper,"['4801.00.01', '4802.61.10', '4802.61.20', '4802.61.30', '4802.61.31', '4802.61.60', '4802.62.10', '4802.62.20', '4802.62.30', '4802.62.61', '4802.69.10', '4802.69.20', '4802.69.30']",['Canada'],https://www.federalregister.gov/documents/2017/08/15/2017-17177/uncoated-groundwood-paper-from-canada-institution-of-antidumping-and-countervailing-duty,Uncoated Groundwood Paper From Canada; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-15201,07/20/2017,Cast iron soil pipe fittings,['7307.11.00'],['China'],https://www.federalregister.gov/documents/2017/07/20/2017-15201/cast-iron-soil-pipe-fittings-from-china-institution-of-antidumping-and-countervailing-duty,Cast Iron Soil Pipe Fittings From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-14058,07/05/2017,Tapered roller bearings,[],['Korea'],https://www.federalregister.gov/documents/2017/07/05/2017-14058/tapered-roller-bearings-from-korea-institution-of-antidumping-duty-investigation-and-scheduling-of,Tapered Roller Bearings From Korea; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2017-13910,07/03/2017,Low melt polyester staple fiber (psf),['5503.20.00'],"['Korea', 'Taiwan']",https://www.federalregister.gov/documents/2017/07/03/2017-13910/low-melt-polyester-staple-fiber-psf-from-korea-and-taiwan-institution-of-antidumping-duty,Low Melt Polyester Staple Fiber (PSF) From Korea and Taiwan; Institution of Antidumping Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-13510,06/28/2017,Ripe olives,"['2005.70.02', '2005.70.04', '2005.70.06', '2005.70.08', '2005.70.12', '2005.70.16', '2005.70.18', '2005.70.23', '2005.70.25', '2005.70.50', '2005.70.60', '2005.70.70', '2005.70.75', '2005.70.91', '2005.70.93', '2005.70.97']",['Spain'],https://www.federalregister.gov/documents/2017/06/28/2017-13510/ripe-olives-from-spain-institution-of-antidumping-and-countervailing-duty-investigations-and,Ripe Olives From Spain; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-11917,06/08/2017,Citric acid and certain citrate salts,[],"['Belgium', 'Colombia', 'Thailand institution of antidumping', 'Countervailing duty investigations', 'Scheduling of preliminary phase investigations']",https://www.federalregister.gov/documents/2017/06/08/2017-11917/citric-acid-and-certain-citrate-salts-from-belgium-colombia-and-thailand-institution-of-antidumping,"Citric Acid and Certain Citrate Salts From Belgium, Colombia, and Thailand Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2017-11755,06/07/2017,Fine denier polyester staple fiber,['5503.20.00'],"['China', 'India', 'Korea', 'Taiwan', 'Vietnam']",https://www.federalregister.gov/documents/2017/06/07/2017-11755/fine-denier-polyester-staple-fiber-from-china-india-korea-taiwan-and-vietnam-institution-of,"Fine Denier Polyester Staple Fiber From China, India, Korea, Taiwan, and Vietnam; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2017-08894,05/03/2017,100- to 150-seat large civil aircraft,['8802.40.00'],['Canada'],https://www.federalregister.gov/documents/2017/05/03/2017-08894/100--to-150-seat-large-civil-aircraft-from-canada-institution-of-antidumping-and-countervailing-duty,100- to 150-Seat Large Civil Aircraft From Canada; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-08361,04/25/2017,Cold-drawn mechanical tubing,"['7304.31.30', '7304.31.60', '7304.51.10', '7304.51.50', '7306.30.50', '7306.50.50']","['China', 'Germany', 'India', 'Italy', 'Korea', 'Switzerland']",https://www.federalregister.gov/documents/2017/04/25/2017-08361/cold-drawn-mechanical-tubing-from-china-germany-india-italy-korea-and-switzerland-institution-of,"Cold-Drawn Mechanical Tubing From China, Germany, India, Italy, Korea, and Switzerland; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2017-07749,04/18/2017,Tool chests and cabinets,[],"['China', 'Vietnam institution of antidumping', 'Countervailing duty investigations', 'Scheduling of preliminary phase investigations']",https://www.federalregister.gov/documents/2017/04/18/2017-07749/tool-chests-and-cabinets-from-china-and-vietnam-institution-of-antidumping-and-countervailing-duty,Tool Chests and Cabinets From China and Vietnam Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-06928,04/07/2017,Carton closing staples,"['8305.20.00', '7317.00.65']",['China'],https://www.federalregister.gov/documents/2017/04/07/2017-06928/carton-closing-staples-from-china-institution-of-antidumping-duty-investigation-and-scheduling-of,Carton Closing Staples From China; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2017-06151,03/29/2017,Biodiesel,"['3826.00.10', '3826.00.30']","['Argentina', 'Indonesia: institution of antidumping', 'Countervailing duty investigations', 'Scheduling of preliminary phase investigations']",https://www.federalregister.gov/documents/2017/03/29/2017-06151/biodiesel-from-argentina-and-indonesia-institution-of-antidumping-and-countervailing-duty,Biodiesel From Argentina and Indonesia: Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-06457,04/03/2017,Carbon and certain alloy steel wire rod,"['7213.91.30', '7213.91.45', '7213.99.00', '7227.20.00', '7227.90.60']","['Belarus', 'Italy', 'Korea', 'Russia', 'South africa', 'Spain', 'Turkey', 'Ukraine', 'United arab emirates', 'United kingdom']",https://www.federalregister.gov/documents/2017/04/03/2017-06457/carbon-and-certain-alloy-steel-wire-rod-from-belarus-italy-korea-russia-south-africa-spain-turkey,"Carbon and Certain Alloy Steel Wire Rod From Belarus, Italy, Korea, Russia, South Africa, Spain, Turkey, Ukraine, United Arab Emirates, and United Kingdom; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2017-05149,03/15/2017,Aluminum foil,"['7607.11.30', '7607.11.60', '7607.11.90', '7607.19.60']",['China'],https://www.federalregister.gov/documents/2017/03/15/2017-05149/aluminum-foil-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and,Aluminum Foil From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-04994,03/14/2017,Silicon metal,"['2804.69.10', '2804.69.50']","['Australia', 'Brazil', 'Kazakhstan', 'Norway']",https://www.federalregister.gov/documents/2017/03/14/2017-04994/silicon-metal-from-australia-brazil-kazakhstan-and-norway-institution-of-antidumping-and,"Silicon Metal From Australia, Brazil, Kazakhstan, and Norway; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
